-2,2
2,-2
10,-10
-10,10
-25,29
31,-35
41,-63
-72,93
-54,109
145,-212
58,-159
-299,461
-52,199
978,-1318
1481,-1666
415,299
-1454,1655
-2048,199
-1475,-1614
509,-818
1514,1555
380,2047
-1554,1403
-2048,-641
-1305,-1458
-47,-266
1280,1491
2047,1992
1626,1390
-612,1089
-1622,1503
-17,1841
1606,1395
662,129
-1585,-1396
-2048,-2048
-1328,-1497
228,224
1339,1491
1800,1621
1558,1425
1085,1550
1318,1419
2047,366
1604,-1346
-434,-2048
-1633,-1630
-273,823
1646,1703
1813,-316
1256,-1752
1554,4
1605,1764
152,299
-1555,-1736
-1943,-778
-1394,1681
-1097,2047
-1449,1282
-1897,-170
-1483,-1353
36,-1966
1508,-1480
1796,-53
1373,1434
1298,2047
1527,1492
1490,-147
1358,-1511
1495,-1715
1544,-1377
1281,-1375
1335,-1507
1846,-1397
1580,-1406
-83,-1669
-1606,-1466
-1630,-241
-1261,1451
-1697,2047
-1652,1440
32,-398
1660,-1413
1617,-582
1239,1360
1764,2047
1628,1601
-198,-848
-1582,-1673
-586,295
1512,1740
2047,62
1468,-1787
-383,-465
-1562,1814
-1402,1809
-1244,1070
-1975,1768
-1709,1814
532,-411
1727,-1791
-79,-21
-1701,1758
-308,483
1630,-1718
898,-1929
-1534,-1217
-2048,-1469
-1462,-1635
827,-245
1551,1602
-137,2047
-1618,1307
-460,66
1663,-1302
1988,-2048
1204,-1613
1303,545
1713,1646
1277,183
1149,-1675
2047,-1701
1790,-1200
-648,-1747
-1842,-1692
291,254
1891,1670
-116,420
-1920,-1624
0,-2014
1920,-1334
116,-1147
-1891,-1485
-291,-1679
1842,-1480
648,-1152
-1785,-1351
-2048,-1997
-1161,-1586
-1263,370
-1696,1602
-1331,370
-1212,-1586
-1943,-1997
-1688,-1351
402,-1152
1713,-1480
236,-1679
-1752,-1480
-1680,-1152
-1095,-1356
-1867,-1993
-1843,-1574
545,357
1880,1581
-232,402
-1899,-1561
62,-2048
1896,-1373
83,-1035
